Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,None,0.939013206162876,1.0,0.9390243902439024,0.9685475098141229,0.5014992503748126,0.4985007496251874,10239,665,2,0,0.9282713392765652,1.0,0.9282786885245902,0.9628015729620577,0.5007132667617689,0.49928673323823114,9059,700,1,0
linear,1,None,0.939013206162876,1.0,0.9390243902439024,0.9685475098141229,0.5014992503748126,0.4985007496251874,10239,665,2,0,0.9282713392765652,1.0,0.9282786885245902,0.9628015729620577,0.5007132667617689,0.49928673323823114,9059,700,1,0
linear,10,None,0.939013206162876,1.0,0.9390243902439024,0.9685475098141229,0.5014992503748126,0.4985007496251874,10239,665,2,0,0.9282713392765652,1.0,0.9282786885245902,0.9628015729620577,0.5007132667617689,0.49928673323823114,9059,700,1,0
linear,100,None,0.939013206162876,1.0,0.9390243902439024,0.9685475098141229,0.5014992503748126,0.4985007496251874,10239,665,2,0,0.9282713392765652,1.0,0.9282786885245902,0.9628015729620577,0.5007132667617689,0.49928673323823114,9059,700,1,0
rbf,0.1,None,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
rbf,1,None,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
rbf,10,None,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
rbf,100,None,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
sigmoid,0.1,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
sigmoid,1,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
sigmoid,10,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
sigmoid,100,None,0.9388410049514029,1.0,0.9388410049514029,0.9684558997398912,0.5,0.5,10239,667,0,0,0.9281762295081967,1.0,0.9281762295081967,0.9627504118178437,0.5,0.5,9059,701,0,0
